vm,vc,ts,sp,id,hot,rad,,,
2,24.94540109,0,10,25,25.03658521,25.0000253,,,
2,24.89135339,0.1,10,25,25.07049307,25.00009866,,,
2,24.83784666,0.2,10,25,25.10191821,25.00021644,,,
2,24.78487113,0.3,10,25,25.13104113,25.00037528,,,
2,24.73241752,0.4,10,25,25.15802922,25.00057206,,,
2,24.68047694,0.5,10,25,25.18303777,25.00080391,,,
2,24.62904089,0.6,10,25,25.20621078,25.00106813,,,
2,24.57810125,0.7,10,25,25.22768181,25.00136224,,,
2,24.52765024,0.8,10,25,25.24757473,25.00168394,,,
2,24.47768039,0.9,10,25,25.26600444,25.00203109,,,
2,24.42818454,1,10,25,25.28307749,25.00240172,,,
2,24.3791558,1.1,10,25,25.2988927,25.00279399,,,
2,24.33058753,1.2,10,25,25.31354174,25.00320619,,,
2,24.28247336,1.3,10,25,25.32710961,25.00363676,,,
2,24.23480713,1.4,10,25,25.33967516,25.00408422,,,
2,24.18758289,1.5,10,25,25.35131149,25.00454723,,,
2,24.1407949,1.6,10,25,25.36208644,25.00502453,,,
2,24.0944376,1.7,10,25,25.37206289,25.00551495,,,
2,24.04850562,1.8,10,25,25.38129917,25.00601742,,,
2,24.00299373,1.9,10,25,25.38984939,25.00653094,,,
2,23.95789689,2,10,25,25.39776371,25.00705458,,,
2,23.91321017,2.1,10,25,25.40508866,25.00758748,,,
2,23.86892879,2.2,10,25,25.4118674,25.00812885,,,
2,23.82504812,2.3,10,25,25.41813995,25.00867796,,,
2,23.78156362,2.4,10,25,25.42394342,25.00923411,,,
2,23.73847088,2.5,10,25,25.42931224,25.00979668,,,
2,23.6957656,2.6,10,25,25.43427832,25.01036508,,,
2,23.65344358,2.7,10,25,25.43887128,25.01093877,,,
2,23.61150071,2.8,10,25,25.44311855,25.01151725,,,
2,23.56993298,2.9,10,25,25.44704561,25.01210005,,,
2,23.52873646,3,10,25,25.45067605,25.01268674,,,
2,23.48790732,3.1,10,25,25.45403179,25.01327693,,,
2,23.44744177,3.2,10,25,25.45713311,25.01387025,,,
2,23.40733614,3.3,10,25,25.45999885,25.01446635,,,
2,23.3675868,3.4,10,25,25.46264647,25.01506491,,,
2,23.32819018,3.5,10,25,25.46509216,25.01566566,,,
2,23.28914282,3.6,10,25,25.46735092,25.01626831,,,
2,23.25044126,3.7,10,25,25.46943669,25.01687262,,,
2,23.21208215,3.8,10,25,25.47136237,25.01747836,,,
2,23.17406216,3.9,10,25,25.47313992,25.0180853,,,
2,23.13637802,4,10,25,25.47478045,25.01869327,,,
2,23.09902654,4.1,10,25,25.47629425,25.01930207,,,
2,23.06200455,4.2,10,25,25.47769086,25.01991153,,,
2,23.02530892,4.3,10,25,25.47897911,25.0205215,,,
2,22.98893659,4.4,10,25,25.48016723,25.02113184,,,
2,22.95288453,4.5,10,25,25.4812628,25.02174241,,,
2,22.91714975,4.6,10,25,25.48227287,25.0223531,,,
2,22.88172931,4.7,10,25,25.48320399,25.02296378,,,
2,22.8466203,4.8,10,25,25.4840622,25.02357436,,,
2,22.81181986,4.9,10,25,25.48485313,25.02418474,,,
2,22.77732514,5,10,25,25.48558198,25.02479484,,,
2,22.74313336,5.1,10,25,25.48625357,25.02540456,,,
2,22.70924175,5.2,10,25,25.48687238,25.02601385,,,
2,22.67564758,5.3,10,25,25.48744255,25.02662262,,,
2,22.64234815,5.4,10,25,25.48796792,25.02723082,,,
2,22.60934079,5.5,10,25,25.48845206,25.02783839,,,
2,22.57662288,5.6,10,25,25.48889825,25.02844528,,,
2,22.5441918,5.7,10,25,25.48930956,25.02905143,,,
2,22.51204498,5.8,10,25,25.48968882,25.02965681,,,
2,22.48017986,5.9,10,25,25.49003866,25.03026137,,,
2,22.44859394,6,10,25,25.4903615,25.03086508,,,
2,22.41728471,6.1,10,25,25.49065959,25.03146791,,,
2,22.3862497,6.2,10,25,25.49093503,25.03206981,,,
2,22.35548647,6.3,10,25,25.49118974,25.03267078,,,
2,22.32499262,6.4,10,25,25.49142552,25.03327077,,,
2,22.29476573,6.5,10,25,25.49164401,25.03386977,,,
2,22.26480345,6.6,10,25,25.49184676,25.03446777,,,
2,22.23510344,6.7,10,25,25.49203518,25.03506473,,,
2,22.20566336,6.8,10,25,25.4922106,25.03566064,,,
2,22.17648093,6.9,10,25,25.49237421,25.03625549,,,
2,22.14755387,7,10,25,25.49252716,25.03684927,,,
2,22.11887992,7.1,10,25,25.49267047,25.03744196,,,
2,22.09045686,7.2,10,25,25.49280513,25.03803355,,,
2,22.06228247,7.3,10,25,25.49293201,25.03862404,,,
2,22.03435457,7.4,10,25,25.49305194,25.03921342,,,
2,22.00667098,7.5,10,25,25.49316568,25.03980168,,,
2,21.97922957,7.6,10,25,25.49327394,25.04038881,,,
2,21.95202819,7.7,10,25,25.49337736,25.04097481,,,
2,21.92506476,7.8,10,25,25.49347655,25.04155968,,,
2,21.89833717,7.9,10,25,25.49357207,25.04214342,,,
2,21.87184336,8,10,25,25.49366442,25.04272601,,,
2,21.84558128,8.1,10,25,25.49375407,25.04330747,,,
2,21.8195489,8.2,10,25,25.49384148,25.04388779,,,
2,21.79374421,8.3,10,25,25.49392702,25.04446696,,,
2,21.76816521,8.4,10,25,25.49401109,25.045045,,,
2,21.74280994,8.5,10,25,25.49409401,25.04562189,,,
2,21.71767642,8.6,10,25,25.49417611,25.04619764,,,
2,21.69276273,8.7,10,25,25.49425767,25.04677226,,,
2,21.66806694,8.8,10,25,25.49433896,25.04734574,,,
2,21.64358715,8.9,10,25,25.49442023,25.04791809,,,
2,21.61932146,9,10,25,25.49450169,25.04848931,,,
2,21.59526801,9.1,10,25,25.49458356,25.0490594,,,
2,21.57142495,9.2,10,25,25.49466603,25.04962837,,,
2,21.54779044,9.3,10,25,25.49474927,25.05019621,,,
2,21.52436265,9.4,10,25,25.49483343,25.05076294,,,
2,21.50113978,9.5,10,25,25.49491866,25.05132855,,,
2,21.47812005,9.6,10,25,25.49500511,25.05189305,,,
2,21.45530168,9.7,10,25,25.49509287,25.05245645,,,
2,21.43268291,9.8,10,25,25.49518208,25.05301875,,,
2,21.410262,9.9,10,25,25.49527282,25.05357994,,,
2,21.38803723,10,10,25,25.49536519,25.05414005,,,
2,21.36600689,10.1,10,25,25.49545927,25.05469907,,,
2,21.34416928,10.2,10,25,25.49555513,25.055257,,,
2,21.32252272,10.3,10,25,25.49565285,25.05581386,,,
2,21.30106554,10.4,10,25,25.49575248,25.05636964,,,
2,21.2797961,10.5,10,25,25.49585407,25.05692436,,,
2,21.25871275,10.6,10,25,25.49595768,25.05747801,,,
2,21.23781388,10.7,10,25,25.49606335,25.0580306,,,
2,21.21709788,10.8,10,25,25.49617111,25.05858214,,,
2,21.19656315,10.9,10,25,25.496281,25.05913263,,,
2,21.17620811,11,10,25,25.49639304,25.05968208,,,
2,21.15603121,11.1,10,25,25.49650727,25.06023049,,,
2,21.13603087,11.2,10,25,25.4966237,25.06077787,,,
2,21.11620558,11.3,10,25,25.49674236,25.06132422,,,
2,21.0965538,11.4,10,25,25.49686325,25.06186955,,,
2,21.07707401,11.5,10,25,25.49698639,25.06241387,,,
2,21.05776473,11.6,10,25,25.49711179,25.06295717,,,
2,21.03862447,11.7,10,25,25.49723946,25.06349947,,,
2,21.01965175,11.8,10,25,25.49736939,25.06404076,,,
2,21.00084512,11.9,10,25,25.49750161,25.06458106,,,
2,20.98220312,12,10,25,25.49763609,25.06512037,,,
2,20.96372433,12.1,10,25,25.49777286,25.0656587,,,
2,20.94540732,12.2,10,25,25.49791189,25.06619605,,,
2,20.92725069,12.3,10,25,25.49805319,25.06673242,,,
2,20.90925303,12.4,10,25,25.49819676,25.06726782,,,
2,20.89141296,12.5,10,25,25.49834258,25.06780226,,,
2,20.87372912,12.6,10,25,25.49849066,25.06833574,,,
2,20.85620013,12.7,10,25,25.49864097,25.06886826,,,
2,20.83882465,12.8,10,25,25.49879352,25.06939984,,,
